Submit,Id,Predict,stack,xgb,lgb,xgb2
6.09910519180222,5733,6.09910519180222,6.123925948081354,5.872275352478027,6.042337811157998,5.872275352478027
6.052562648594442,5734,6.052562648594442,6.1433555726752225,5.62401008605957,5.711184614078331,5.62401008605957
5.115974682943536,5735,5.115974682943536,5.103663292326741,5.147292137145996,5.171196321235384,5.147292137145996
6.088788949732617,5736,6.088788949732617,6.1082871185870005,6.491525650024414,5.850553109342206,6.491525650024414
5.23999548723247,5739,5.23999548723247,5.244726055565253,5.0857977867126465,5.266164983227806,5.0857977867126465
5.319071196956945,5740,5.319071196956945,5.308685816068912,5.113039970397949,5.443136891073259,5.113039970397949
5.231484284292043,5741,5.231484284292043,5.198971288455198,5.380563735961914,5.355193778198596,5.380563735961914
5.491176124102332,5742,5.491176124102332,5.469555159396789,5.616922855377197,5.564572319037178,5.616922855377197
5.724569278526726,5743,5.724569278526726,5.701110018026032,5.931759834289551,5.780621736469955,5.931759834289551
5.961395156501975,5744,5.961395156501975,5.9392758631649185,5.998157978057861,6.067110486850748,5.998157978057861
4.7765256994598415,5745,4.7765256994598415,4.775718262769379,4.822066783905029,4.765651686862124,4.822066783905029
5.676769945388201,5746,5.676769945388201,5.709121665399789,5.551551342010498,5.545966893646107,5.551551342010498
5.929875855194194,5747,5.929875855194194,5.97071092329395,5.802389621734619,5.75458411727273,5.802389621734619
5.740536811573815,5748,5.740536811573815,5.750852702838448,5.884037971496582,5.637684925381986,5.884037971496582
6.332890897110366,5749,6.332890897110366,6.359332166370462,6.418973445892334,6.163176492253246,6.418973445892334
4.962274373461692,5750,4.962274373461692,4.934344921291497,5.114518642425537,5.060483242838824,5.114518642425537
5.426815682744458,5751,5.426815682744458,5.419102155379802,5.443332672119141,5.46244879249463,5.443332672119141
5.899053554151457,5752,5.899053554151457,5.858259592044556,5.960494518280029,6.09614091146945,5.960494518280029
5.05515123821099,5753,5.05515123821099,5.065651719923562,5.02175235748291,5.010281510110679,5.02175235748291
5.715142425605331,5754,5.715142425605331,5.5883800188833614,6.571849822998047,6.105639343115633,6.571849822998047
5.186143922228154,5755,5.186143922228154,5.20813165945765,5.036561012268066,5.118737000060636,5.036561012268066
