train,Id,stack,xgb,lgb
6.059999999999999,1,6.013634288606548,6.297329902648926,5.850110237297052
5.39,2,5.427028379358614,5.431992530822754,5.42660086551489
5.59,3,5.417114270698765,5.229360103607178,5.042557858940798
4.3,4,4.464030106263884,4.642360687255859,4.959323788744522
5.42,5,5.553003070225366,5.399914264678955,5.235657370915078
5.97,6,6.09202281520265,5.622481346130371,5.815605928120988
5.11,7,5.3065958164102485,5.564905166625977,5.314608348737615
5.9399999999999995,8,5.722763288340711,5.494248867034912,5.693744364847013
5.66,9,5.94227663724221,5.875093936920166,6.018631411954022
5.4799999999999995,10,5.504301733365367,5.536591053009033,5.536492300405491
4.44,11,5.979846053819092,5.349209785461426,5.980729878931159
5.4799999999999995,12,5.574199010861112,5.4401535987854,5.591903509368973
5.32,13,5.459313052457748,5.466664791107178,5.499851476572155
5.08,14,5.129491656245646,5.383761405944824,5.23483225612063
4.63,15,5.036088644743165,4.821440696716309,5.075948231209257
4.92,16,5.039181243843215,5.1624908447265625,5.386491783711119
7.08,17,7.737603302943727,7.510721206665039,7.559565780585672
4.66,18,5.688195716708188,5.609638214111328,5.930149050465142
6.58,19,5.501916337105277,5.421916961669922,5.191505089303052
4.29,20,4.9296980010067655,4.858874797821045,5.093800362176977
4.55,21,5.003621157346516,4.892093181610107,5.3955730736254415
5.160000000000001,22,5.256955768706527,5.232400894165039,5.003638716688257
5.13,23,5.338893676427245,5.350969314575195,5.331705610881396
4.37,24,4.877904415829606,4.869334697723389,5.336255328491634
5.17,25,4.862415128677407,5.057097911834717,4.912443376776512
4.64,26,4.966904095288349,4.9442243576049805,5.048415881123094
5.82,27,5.649271349547715,5.412503719329834,5.389637609672441
6.290000000000001,28,6.270175204667512,6.087958812713623,5.915198925392644
5.1,29,5.707836397257619,5.525753974914551,5.717411168905987
5.41,30,5.6679170068576274,5.483223915100098,5.581644090408919
5.4799999999999995,31,5.550935520774647,5.400242328643799,5.408333610770262
6.440000000000001,32,6.119545949368686,5.860937118530273,6.15300155706558
5.53,33,6.57392530059194,6.663514137268066,6.464369301281255
5.3100000000000005,34,5.492037246962841,5.445189476013184,5.487711733209132
5.52,35,5.584853721806037,5.788837909698486,5.510951246623056
4.700000000000001,36,5.094490978668603,5.414915084838867,5.456271579040296
5.13,37,5.294332276997013,5.132165431976318,5.2805422214981395
6.059999999999999,38,5.616668850079355,5.657046318054199,5.397214391396855
5.41,39,5.3044616357895,5.323808193206787,5.14914794757278
5.82,40,5.421550013449044,5.261282444000244,5.4370642483854095
4.98,41,5.738482042885039,5.839068412780762,5.90403712335817
5.1,42,5.111687008059764,5.127479553222656,5.078820105067782
5.359999999999999,43,5.4174565349665365,5.190553665161133,5.198953260606721
5.34,44,5.065206105782241,5.077596664428711,5.04114212818457
5.05,45,5.126608326342672,4.978168964385986,5.212035830477127
4.85,46,5.119873292131222,4.855829238891602,5.029514750374226
5.2299999999999995,47,5.383989537604436,5.0743255615234375,5.116086614393686
5.59,48,5.3195662931960985,5.222134113311768,5.136244884114416
6.749999999999999,49,6.383597034678414,6.303735256195068,5.9900126416139186
5.910000000000001,50,5.379555735549062,5.315345764160156,5.232546301336104
4.809999999999999,51,4.947237275372888,5.051593780517578,4.9658116826023555
5.4799999999999995,52,5.775661818484935,5.407755374908447,5.709775335024714
5.39,53,5.382758686811317,5.106717109680176,5.2836794303079895
5.47,54,5.892376694369032,5.935555934906006,5.88797996613531
5.03,55,4.928075193835555,4.953700065612793,5.21222841569897
5.11,56,5.037693032161095,5.283369541168213,5.0939047149669285
4.700000000000001,57,4.983987548035271,5.087812423706055,5.13518337955575
5.46,58,5.556964011639229,5.27701473236084,5.255356889324555
5.32,59,4.847101143142771,5.035863399505615,4.782145425255613
4.88,60,5.027528546038899,5.007667541503906,4.984810211528373
