train,Id,stack,xgb,lgb
6.059999999999999,1,5.9821968922937545,6.169775009155273,5.784463568437424
5.39,2,5.540073507581456,5.444525241851807,5.505735281900853
5.59,3,5.508608030138206,5.382171154022217,5.360065564126045
4.3,4,4.630194015983375,4.451028823852539,4.636258290287579
5.42,5,5.558828542415181,5.450638771057129,5.30007390828897
5.97,6,6.11367434045949,5.761962413787842,5.957730840818845
5.11,7,5.256541090235728,5.302166938781738,5.329502937519713
5.9399999999999995,8,5.750046421596655,5.35914945602417,5.584470277889378
5.66,9,5.731555585234686,6.051772594451904,5.792471572264792
5.4799999999999995,10,5.358892307542761,5.630343437194824,5.409677262529581
4.44,11,5.983527634144128,5.283988952636719,5.647657728395611
5.4799999999999995,12,5.57240357065937,5.676267623901367,5.658131500736525
5.32,13,5.46333884263478,5.336285591125488,5.292454131901554
5.08,14,5.1754899378961206,5.4524760246276855,5.223883920585612
4.63,15,5.173291599619634,4.965895175933838,5.150500086289514
4.92,16,5.211594999212222,5.068388938903809,5.303895688400254
7.08,17,7.670354134831985,6.981053829193115,7.838938478341598
4.66,18,6.17598883259297,5.421564102172852,5.678162223450833
6.58,19,5.489404897199626,5.3329267501831055,5.212644968243524
4.29,20,5.3014698620501255,4.871033668518066,5.269901049811171
4.55,21,5.1482876352097175,5.10032844543457,5.0860497667092455
5.160000000000001,22,5.417718378236477,5.211985111236572,5.302023746110997
5.13,23,5.0279451822464845,5.249639987945557,5.196719423019118
4.37,24,5.08768614611852,4.957298278808594,5.157688982194761
5.17,25,4.863939420788826,4.973450660705566,4.895132728616244
4.64,26,5.176583062974067,5.031642436981201,5.182875668046049
5.82,27,5.539400748013792,5.203823089599609,5.1398600049396315
6.290000000000001,28,6.079790726330498,6.132416248321533,5.683467832241027
5.1,29,5.829119810316933,5.742408752441406,5.576018885852215
5.41,30,5.851664446839027,5.559023380279541,5.759710915948066
5.4799999999999995,31,5.617714471949748,5.441074371337891,5.4614743538201065
6.440000000000001,32,6.11291520890387,5.991878509521484,6.239262140099538
5.53,33,6.698207700216004,6.395355224609375,6.54147481587504
5.3100000000000005,34,5.350080607933164,5.3512492179870605,5.488816689782492
5.52,35,5.45257005262229,5.393712520599365,5.605072423573068
4.700000000000001,36,5.2430830598484075,5.20648193359375,5.470287580884607
5.13,37,5.398833916103727,5.205772876739502,5.254456544595046
6.059999999999999,38,5.4903521224476375,5.480932712554932,5.137852526722853
5.41,39,5.328891063891195,5.2563395500183105,5.072586789071972
5.82,40,5.3806206997222334,5.356581687927246,5.476383515834798
4.98,41,5.934060759402751,5.75840950012207,5.962320320023999
5.1,42,5.093024701665376,5.193599224090576,4.9417635104229385
5.359999999999999,43,5.536851787996117,5.2024993896484375,5.473469906838496
5.34,44,5.095516061269184,5.073402404785156,4.993912064190696
5.05,45,5.171629912286945,4.9911112785339355,4.998448898527897
4.85,46,5.151943970632868,4.670325756072998,5.06331890304023
5.2299999999999995,47,5.345566378492692,5.021639823913574,5.16749164217131
5.59,48,5.340554336230189,5.385714530944824,5.222373455843442
6.749999999999999,49,6.200174453288935,6.439043045043945,5.991892519967747
5.910000000000001,50,5.321741926527461,5.236857891082764,5.206648160559861
4.809999999999999,51,5.018076959352826,5.29866886138916,5.280784818307867
5.4799999999999995,52,5.783596662720944,5.560069561004639,5.633294611975047
5.39,53,5.356461706458824,5.232039928436279,5.3004308442479635
5.47,54,6.061683089243069,6.002738952636719,6.037848734581351
5.03,55,5.123855914994394,5.005125522613525,5.156650773567908
5.11,56,5.028569319320024,5.184191703796387,5.2012704462541155
4.700000000000001,57,5.100933369837897,5.025347709655762,5.1058241487391305
5.46,58,5.63730705173585,5.3931379318237305,5.405767507121634
5.32,59,4.631841736934962,5.005221843719482,4.8884245650134
4.88,60,5.18109960669043,4.965798377990723,5.047622544469869
4.870000000000001,61,5.478881861735394,5.484873294830322,5.517283884196733
