train,Id,stack,xgb,lgb
6.059999999999999,1,5.997473249991979,6.141024112701416,5.689680143954942
5.39,2,5.51526544661528,5.438789367675781,5.433449963384292
5.59,3,5.475535998551241,5.334412574768066,5.40534869729556
4.3,4,4.631100856148717,4.549792289733887,4.616238761204975
5.42,5,5.479839834734347,5.107113361358643,5.33258467554884
5.97,6,6.133414523000614,5.5531158447265625,5.983742143305295
5.11,7,5.25770184707481,5.33974552154541,5.334514520782214
5.9399999999999995,8,5.769861895832143,5.415122985839844,5.677153623479998
5.66,9,5.723388378466255,5.96251916885376,5.875116231764149
5.4799999999999995,10,5.355854507466478,5.594770908355713,5.450632856806951
4.44,11,6.00787410520003,5.355742931365967,5.686093002111504
5.4799999999999995,12,5.558058278336494,5.6238250732421875,5.548004606086067
5.32,13,5.487552784530835,5.391605377197266,5.430846053519466
5.08,14,5.159633468998727,5.448651313781738,5.134468095084152
4.63,15,5.162554396523531,5.080928802490234,5.275785160177174
4.92,16,5.2067510875360075,5.11908483505249,5.258070917129508
7.08,17,7.653683353010061,7.251483917236328,8.15377800816819
4.66,18,6.146270938974581,5.185148239135742,5.5795180496645065
6.58,19,5.537232835187425,5.697436332702637,5.35513426320857
4.29,20,5.2754002005492335,4.912489414215088,5.23765754243758
4.55,21,5.1693252582368,4.873469829559326,5.169226256272498
5.160000000000001,22,5.423331404261942,4.97946834564209,5.322767636782165
5.13,23,4.98192597307821,5.110297679901123,5.074222651797271
4.37,24,5.059744983763272,5.042842388153076,5.194488649171952
5.17,25,4.845960863951243,4.979934215545654,4.858374853935871
4.64,26,5.140079025386193,4.947050094604492,5.164943742328137
5.82,27,5.5355593955381135,5.266928672790527,5.113542155533416
6.290000000000001,28,6.104687676897599,6.0085062980651855,5.645937921361312
5.1,29,5.804026485025317,5.48050594329834,5.631164032762196
5.41,30,5.829136767425183,5.2933454513549805,5.673065174472294
5.4799999999999995,31,5.6391310501568475,5.375542640686035,5.556638624771392
6.440000000000001,32,6.132772067598536,6.084273338317871,6.10216676608745
5.53,33,6.69075003717481,6.2609663009643555,6.822021510629752
5.3100000000000005,34,5.347258022695734,5.358878135681152,5.412714036342743
5.52,35,5.4434324521583335,5.753682613372803,5.713062443249929
4.700000000000001,36,5.227311121116651,5.158866882324219,5.208606361001072
5.13,37,5.4042904294442025,5.144488334655762,5.244578401491299
6.059999999999999,38,5.4836334433489835,5.481362342834473,5.077394484432606
5.41,39,5.330169639120744,5.14877462387085,5.018391052724131
5.82,40,5.420773293781976,5.4710164070129395,5.4070466442060585
4.98,41,5.955556846397236,5.756577014923096,5.788986268644983
5.1,42,5.112907237653699,5.053045749664307,4.960120005735297
5.359999999999999,43,5.532298625968077,5.194253444671631,5.375393697710921
5.34,44,5.089404439515207,5.088813304901123,4.951388545116331
5.05,45,5.175415767840146,4.749882698059082,5.093665493816067
4.85,46,5.168934078553807,4.862518787384033,4.986866758718314
5.2299999999999995,47,5.344083879249581,5.148733615875244,5.140106384298824
5.59,48,5.332281645458364,5.3851237297058105,5.294198601932035
6.749999999999999,49,6.196421535472043,6.460671901702881,5.946850943024399
5.910000000000001,50,5.291384333154884,5.152241230010986,5.121586191327309
4.809999999999999,51,5.037865175808578,5.325442790985107,5.20189334725078
